tconst,primary_title,start_year,genres,runtime_minutes,directors,writers,averagerating,numvotes
tt1972591,King Arthur: Legend of the Sword,2017,"Action,Adventure,Drama",126.0,nm0005363,"nm1703612,nm0005363,nm0927880,nm0229694",6.8,169054
tt1972779,The Best of Me,2014,"Drama,Romance",118.0,nm0001355,"nm0817023,nm3391497,nm0328987",6.7,59750
tt1974419,The Neon Demon,2016,"Horror,Thriller",117.0,nm0716347,"nm0716347,nm6890017,nm6031291",6.2,72359
tt1974420,Rules Don't Apply,2016,"Comedy,Drama,Romance",127.0,nm0000886,"nm0000886,nm0325743",5.7,7794
tt1975159,Flight 7500,2014,"Horror,Mystery,Sci-Fi",97.0,nm1234345,nm0742194,4.8,13648
tt1976000,The Two Faces of January,2014,"Romance,Thriller",96.0,nm0024925,"nm0024925,nm0383604",6.2,27542
tt1976009,Victor Frankenstein,2015,"Drama,Horror,Sci-Fi",110.0,nm0006476,"nm0484840,nm0791217",6.0,47492
tt1978532,Someone Marry Barry,2014,Comedy,87.0,nm1745389,nm1745389,5.9,6986
tt1979388,The Good Dinosaur,2015,"Adventure,Animation,Comedy",93.0,nm0812307,"nm0677037,nm0812307,nm4402755,nm0498834,nm1626375,nm0373282,nm2937122",6.7,91465
tt1981128,Geostorm,2017,"Action,Sci-Fi,Thriller",109.0,nm0002041,"nm0002041,nm0349935",5.3,78287
tt1985949,The Angry Birds Movie,2016,"Action,Animation,Comedy",97.0,"nm0443505,nm0717678","nm0900140,nm4678928,nm2039903,nm2805697",6.3,69624
tt1986202,Whispers,2015,"Drama,Horror,Thriller",90.0,nm0840412,nm0840412,6.2,8453
tt1987680,The Upside,2017,"Comedy,Drama",126.0,nm1139726,"nm1768281,nm0865918,nm0619923",6.7,24169
tt1988621,Exists,2014,"Action,Adventure,Horror",81.0,nm0844896,"nm1912178,nm0844896",5.2,7437
tt1991031,Digging Up the Marrow,2014,"Biography,Drama,Fantasy",89.0,nm1697112,nm1697112,5.8,4056
tt1995390,Our Kind of Traitor,2016,"Crime,Drama,Thriller",108.0,nm1264352,"nm0494170,nm0024925",6.2,17511
tt1999890,Hell Fest,2018,Horror,89.0,nm0687427,"nm3466037,nm1397455,nm1427602,nm3716185,nm0839812,nm4868455",5.5,8662
tt2004420,Neighbors,2014,Comedy,97.0,nm0831557,"nm1157527,nm1895993",6.3,266020
tt2005151,War Dogs,2016,"Comedy,Crime,Drama",114.0,nm0680846,"nm0157787,nm0680846,nm1429512,nm0493225",7.1,154029
